adjective	noun	GerCoAt-attribute	status
plenary	session	completeness	collocation
rudimentary	plan	completeness	collocation
contaminated	water	composition	free
polluted	lake	composition	free
pure	air	composition	free
pure	gold	composition	free
pure	oxygen	composition	free
unpolluted	stream	composition	free
fresh	air	composition	collocation
simple	substance	composition	collocation
dense	smoke	consistency	collocation
dense	smoke	consistency	collocation
heavy	fog	consistency	collocation
heavy	fog	consistency	collocation
thick	cream	consistency	collocation
thick	fog	consistency	collocation
thick	smoke	consistency	collocation
thick	soup	consistency	collocation
thick	cream	consistency	collocation
thick	fog	consistency	collocation
thick	smoke	consistency	collocation
thick	soup	consistency	collocation
thin	air	consistency	collocation
thin	oil	consistency	collocation
thin	soup	consistency	collocation
thin	air	consistency	collocation
lumpy	gravy	consistency	free
thin	oil	consistency	collocation
thin	soup	consistency	collocation
delicate	wing	constitution	free
lanky	kid	constitution	free
mighty	logger	constitution	free
powerful	arm	constitution	free
slight	figure	constitution	free
strong	man	constitution	free
sturdy	canvas	constitution	free
weak	pillar	constitution	free
little	man	constitution	collocation
ceaseless	thunder	continuity	free
constant	pain	continuity	free
continuous	bout	continuity	free
continuous	fear	continuity	free
continuous	line	continuity	free
continuous	rearrangement	continuity	free
continuous	row	continuity	free
incessant	noise	continuity	free
perpetual	struggle	continuity	free
regular	call	continuity	free
regular	duty	continuity	free
regular	meal	continuity	free
unceasing	warfare	continuity	free
unremitting	demand	continuity	free
spare	figure	constitution	collocation
casual	correspondence	continuity	collocation
ample	waistline	dimension	collocation
brief	bikini	dimension	collocation
far	trek	dimension	collocation
mammoth	ship	dimension	collocation
challenging	task	effort	free
complex	mass	effort	free
complex	set	effort	free
complicated	problem	effort	free
difficult	cliff	effort	free
difficult	task	effort	free
easy	answer	effort	free
easy	job	effort	free
easy	problem	effort	free
easy	victory	effort	free
easy	way	effort	free
elementary	problem	effort	free
intractable	disposition	effort	free
intractable	issue	effort	free
intractable	metal	effort	free
multiplex	problem	effort	free
simple	problem	effort	free
simple	game	effort	free
mountainous	wave	dimension	collocation
super	skyscraper	dimension	collocation
new	friend	duration	collocation
perennial	happiness	duration	collocation
intractable	pain	effort	collocation
knotty	problem	effort	collocation
average	size	dimension	free
big	city	dimension	free
broad	river	dimension	free
broad	shoulder	dimension	free
deep	cut	dimension	free
erect	tail	dimension	free
gigantic	redwood	dimension	free
high	building	dimension	free
high	ceiling	dimension	free
high	mountain	dimension	free
horizontal	surface	dimension	free
huge	wave	dimension	free
immense	snake	dimension	free
inclined	plane	dimension	free
jumbo	jet	dimension	free
jumbo	shrimp	dimension	free
large	area	dimension	free
large	city	dimension	free
little	house	dimension	free
long	distance	dimension	free
long	road	dimension	free
long	word	dimension	free
low	bow	dimension	free
low	ceiling	dimension	free
low	cloud	dimension	free
low	furniture	dimension	free
low	hill	dimension	free
low	sun	dimension	free
massive	sculpture	dimension	free
measurable	depth	dimension	free
miniature	camera	dimension	free
minuscule	kitchen	dimension	free
monolithic	proportion	dimension	free
monumental	scale	dimension	free
narrow	bridge	dimension	free
narrow	line	dimension	free
perpendicular	height	dimension	free
petite	figure	dimension	free
short	hair	dimension	free
short	smokestack	dimension	free
skew	picture	dimension	free
small	car	dimension	free
squat	tower	dimension	free
tall	building	dimension	free
tall	people	dimension	free
tall	ship	dimension	free
tall	tree	dimension	free
thin	line	dimension	free
tiny	feet	dimension	free
uneven	grain	dimension	free
uneven	margin	dimension	free
uneven	ground	dimension	free
vertical	pillar	dimension	free
voluminous	skirt	dimension	free
wide	margin	dimension	free
wide	necktie	dimension	free
wide	road	dimension	free
knotty	problem	effort	collocation
sticky	question	effort	collocation
ephemeral	joy	duration	free
impermanent	factor	duration	free
interim	agreement	duration	free
lifelong	study	duration	free
long	friendship	duration	free
long	game	duration	free
long	life	duration	free
long	time	duration	free
long-term	reconstruction	duration	free
longstanding	conflict	duration	free
longstanding	friendship	duration	free
permanent	address	duration	free
permanent	secretary	duration	free
permanent	value	duration	free
short	flight	duration	free
short	holiday	duration	free
short	life	duration	free
short	month	duration	free
short	story	duration	free
temporary	housing	duration	free
transient	beauty	duration	free
transitory	love	duration	free
tractable	disposition	effort	collocation
uncomplicated	solution	effort	collocation
acid	comment	emotion	collocation
acrid	remark	emotion	collocation
barbed	compliment	emotion	collocation
biting	aphorism	emotion	collocation
bitter	word	emotion	collocation
blue	day	emotion	collocation
cheerful	room	emotion	collocation
chilly	greeting	emotion	collocation
cold	logic	emotion	collocation
cool	reception	emotion	collocation
cool	relation	emotion	collocation
dark	day	emotion	collocation
dramatic	entrance	emotion	collocation
dramatic	rescue	emotion	collocation
dry	critique	emotion	collocation
dry	greeting	emotion	collocation
dull	play	emotion	collocation
fiery	temper	emotion	collocation
flaming	passion	emotion	collocation
gloomy	day	emotion	collocation
happy	day	emotion	collocation
happy	marriage	emotion	collocation
happy	smile	emotion	collocation
hot	argument	emotion	collocation
hot	temper	emotion	collocation
hot	topic	emotion	collocation
macabre	tale	emotion	collocation
macabre	torture	emotion	collocation
mean	mood	emotion	collocation
melodramatic	account	emotion	collocation
nasty	accident	emotion	collocation
nasty	mood	emotion	collocation
nasty	shock	emotion	collocation
nasty	smell	emotion	collocation
nasty	thing	emotion	collocation
nasty	trick	emotion	collocation
ponderous	speech	emotion	collocation
proud	moment	emotion	collocation
red-hot	speech	emotion	collocation
schmaltzy	song	emotion	collocation
somber	mood	emotion	collocation
sore	trial	emotion	collocation
sultry	look	emotion	collocation
uncheerful	place	emotion	collocation
uncomfortable	day	emotion	collocation
unhappy	silence	emotion	collocation
unhappy	time	emotion	collocation
unhappy	truth	emotion	collocation
warm	greeting	emotion	collocation
warm	personality	emotion	collocation
warm	support	emotion	collocation
affable	smile	emotion	free
amiable	gathering	emotion	free
amusing	speaker	emotion	free
atrocious	crime	emotion	free
breathtaking	adventure	emotion	free
cheerful	greeting	emotion	free
cheerful	nature	emotion	free
cheery	hello	emotion	free
cordial	greeting	emotion	free
cordial	relation	emotion	free
creepy	story	emotion	free
enjoyable	company	emotion	free
exciting	account	emotion	free
fascinating	story	emotion	free
fearful	glance	emotion	free
genial	host	emotion	free
ghastly	wound	emotion	free
grievous	crime	emotion	free
grievous	offense	emotion	free
grim	man	emotion	free
grisly	murder	emotion	free
gruesome	evidence	emotion	free
inconsiderate	reasoning	emotion	free
sardonic	laughter	emotion	free
sunny	smile	emotion	free
thrilling	performer	emotion	free
timorous	tone	emotion	free
uncheerful	person	emotion	free
uninteresting	account	emotion	free
wretched	prisoner	emotion	free
warm	debate	emotion	collocation
reluctant	smile	emotion	collocation
offensive	remark	emotion	collocation
inoffensive	behavior	emotion	collocation
humble	apology	epithet	collocation
proud	parent	epithet	collocation
atrocious	taste	evaluation	collocation
awkward	time	evaluation	collocation
beautiful	party	evaluation	collocation
beautiful	theory	evaluation	collocation
benign	influence	evaluation	collocation
benign	sky	evaluation	collocation
benign	smile	evaluation	collocation
benign	intention	evaluation	collocation
bright	future	evaluation	collocation
exemplary	behavior	evaluation	collocation
good	manner	evaluation	collocation
high	opinion	evaluation	collocation
hot	doll	evaluation	collocation
ill	omen	evaluation	collocation
ill	prediction	evaluation	collocation
lousy	play	evaluation	collocation
malign	motive	evaluation	collocation
painful	performance	evaluation	collocation
poor	light	evaluation	collocation
poor	morale	evaluation	collocation
precious	memory	evaluation	collocation
propitious	omen	evaluation	collocation
abominable	workmanship	evaluation	free
attractive	illustration	evaluation	free
attractive	personality	evaluation	free
auspicious	beginning	evaluation	free
awful	voice	evaluation	free
bad	impression	evaluation	free
bad	light	evaluation	free
bad	review	evaluation	free
bad	choice	evaluation	free
beautiful	country	evaluation	free
beautiful	painting	evaluation	free
beneficent	regime	evaluation	free
deplorable	state	evaluation	free
dreadful	manner	evaluation	free
evil	deed	evaluation	free
evil	influence	evaluation	free
evil	purpose	evaluation	free
felicitous	speaker	evaluation	free
good	check	evaluation	free
good	dress	evaluation	free
good	joke	evaluation	free
good	knife	evaluation	free
good	secretary	evaluation	free
good	news	evaluation	free
hideous	scar	evaluation	free
infelicitous	phrasing	evaluation	free
infelicitous	remark	evaluation	free
lamentable	decision	evaluation	free
laudable	motive	evaluation	free
meritorious	conduct	evaluation	free
negative	evaluation	evaluation	free
negative	outlook	evaluation	free
negative	reaction	evaluation	free
nice	day	evaluation	free
nice	dress	evaluation	free
nice	face	evaluation	free
nice	fellow	evaluation	free
nice	manner	evaluation	free
nice	time	evaluation	free
nice	today	evaluation	free
nice	tomato	evaluation	free
nice	gesture	evaluation	free
ominous	silence	evaluation	free
pleasant	evening	evaluation	free
pleasant	scene	evaluation	free
pleasant	sensation	evaluation	free
pleasurable	excitement	evaluation	free
positive	attitude	evaluation	free
positive	benefit	evaluation	free
propitious	alignment	evaluation	free
propitious	gale	evaluation	free
remarkable	sight	evaluation	free
superior	wisdom	evaluation	free
supreme	courage	evaluation	free
terrible	handwriting	evaluation	free
ugly	furniture	evaluation	free
unpleasant	odor	evaluation	free
unpleasant	personality	evaluation	free
unpleasant	repercussion	evaluation	free
unsightly	billboard	evaluation	free
worthwhile	book	evaluation	free
worthy	cause	evaluation	free
worthy	fellow	evaluation	free
prosperous	moment	evaluation	collocation
repulsive	mask	evaluation	collocation
rosy	prediction	evaluation	collocation
sacred	calling	evaluation	collocation
solid	comfort	evaluation	collocation
valuable	friend	evaluation	collocation
black	deed	evaluation	collocation
black	lie	evaluation	collocation
dark	purpose	evaluation	collocation
dark	undercurrent	evaluation	collocation
devilish	scheme	evaluation	collocation
hellish	weather	evaluation	collocation
active	volcano	function	collocation
absorbent	sponge	function	free
effective	step	function	free
efficacious	medicine	function	free
handy	gadget	function	free
ineffectual	therapy	function	free
redeemable	stock	function	free
redeemable	coupon	function	free
soothing	ointment	function	free
univalent	chromosome	function	free
useful	job	function	free
useful	member	function	free
useless	gadget	function	free
utilitarian	kitchenware	function	free
barren	woman	health	free
healthy	baby	health	free
infertile	couple	health	free
ingrown	toenail	health	free
pathologic	tissue	health	free
unhealthy	ulcer	health	free
varicose	vein	health	free
dormant	volcano	function	collocation
extinct	volcano	function	collocation
functional	architecture	function	collocation
functional	word	function	collocation
potent	liquor	function	collocation
potent	toxin	function	collocation
potent	weapon	function	collocation
powerful	bomb	function	collocation
powerful	drug	function	collocation
stiff	drink	function	collocation
strong	medicine	function	collocation
thirsty	towel	function	collocation
big	day	importance	collocation
central	cause	importance	collocation
cardinal	rule	importance	free
crucial	information	importance	free
dispensable	item	importance	free
essential	feature	importance	free
grave	decision	importance	free
grave	responsibility	importance	free
important	people	importance	free
important	question	importance	free
salient	trait	importance	free
significant	change	importance	free
significant	contribution	importance	free
significant	detail	importance	free
small-time	actor	importance	free
trivial	objection	importance	free
unimportant	feature	importance	free
critical	stage	importance	collocation
critical	element	importance	collocation
epochal	decision	importance	collocation
brainy	woman	intelligence	free
clever	man	intelligence	free
smart	child	intelligence	free
unaware	person	intelligence	free
unintelligent	co-worker	intelligence	free
fundamental	change	importance	collocation
fundamental	error	importance	collocation
fundamental	revolution	importance	collocation
monumental	contribution	importance	collocation
prominent	feature	importance	collocation
serious	matter	importance	collocation
slight	evidence	importance	collocation
staple	crop	importance	collocation
vital	interest	importance	collocation
intelligent	life	intelligence	collocation
intelligent	question	intelligence	collocation
intelligent	solution	intelligence	collocation
abnormal	ambition	intensity	collocation
abnormal	power	intensity	collocation
absolute	freedom	intensity	collocation
bad	headache	intensity	collocation
bad	storm	intensity	collocation
big	expenditure	intensity	collocation
big	business	intensity	collocation
complete	defeat	intensity	collocation
conservative	estimate	intensity	collocation
critical	illness	intensity	collocation
critical	shortage	intensity	collocation
critical	mass	intensity	collocation
critical	temperature	intensity	collocation
deep	breath	intensity	collocation
deep	concentration	intensity	collocation
deep	emotion	intensity	collocation
deep	sigh	intensity	collocation
deep	sleep	intensity	collocation
deep	trance	intensity	collocation
desperate	illness	intensity	collocation
dire	emergency	intensity	collocation
exceptional	kindness	intensity	collocation
exquisite	pain	intensity	collocation
extensive	damage	intensity	collocation
extraordinary	desire	intensity	collocation
extraordinary	achievement	intensity	collocation
extraordinary	authority	intensity	collocation
extraordinary	beauty	intensity	collocation
extraordinary	capacity	intensity	collocation
extraordinary	popularity	intensity	collocation
flagrant	violation	intensity	collocation
gentle	reprimand	intensity	collocation
gigantic	disappointment	intensity	collocation
glaring	error	intensity	collocation
gluttonous	appetite	intensity	collocation
great	multitude	intensity	collocation
high	hope	intensity	collocation
high	point	intensity	collocation
high	price	intensity	collocation
high	risk	intensity	collocation
high	temperature	intensity	collocation
incredible	speed	intensity	collocation
low	price	intensity	collocation
low	reservoir	intensity	collocation
massive	increase	intensity	collocation
mighty	blow	intensity	collocation
mild	criticism	intensity	collocation
mild	fever	intensity	collocation
mild	pain	intensity	collocation
mild	rebuke	intensity	collocation
modest	salary	quantity	collocation
outrageous	amount	intensity	collocation
overwhelming	joy	intensity	collocation
powerful	kick	intensity	collocation
reasonable	price	intensity	collocation
shallow	breathing	intensity	collocation
shallow	trance	intensity	collocation
sharp	criticism	intensity	collocation
slim	chance	intensity	collocation
sound	thrashing	intensity	collocation
striking	resemblance	intensity	collocation
supreme	sacrifice	intensity	collocation
excessive	charge	intensity	free
exorbitant	rent	intensity	free
extreme	danger	intensity	free
immoderate	laughter	intensity	free
immoderate	spending	intensity	free
intense	anxiety	intensity	free
intense	desire	intensity	free
intense	emotion	intensity	free
intense	fire	intensity	free
intense	heat	intensity	free
intense	pain	intensity	free
moderate	penalty	intensity	free
moderate	demand	intensity	free
moderate	eater	intensity	free
moderate	enlargement	intensity	free
moderate	estimate	intensity	free
moderate	fine	intensity	free
moderate	income	intensity	free
moderate	price	intensity	free
moderate	size	intensity	free
moderate	success	intensity	free
stupendous	demand	intensity	free
terrific	battle	intensity	collocation
terrific	noise	intensity	collocation
torrential	rain	intensity	collocation
bright	room	brightness	free
bright	sun	brightness	free
clear	air	brightness	free
clear	glass	brightness	free
clear	water	brightness	free
dark	glass	brightness	free
dark	corner	brightness	free
dark	day	brightness	free
dark	shadow	brightness	free
phosphorescent	glow	brightness	free
total	disaster	intensity	collocation
distant	sound	location	free
distant	traffic	location	free
distant	village	location	free
exterior	paint	location	free
exterior	scene	location	free
external	pressure	location	free
far	country	location	free
far	journey	location	free
far	side	location	free
far	side	location	free
interior	bathroom	location	free
interior	decoration	location	free
interior	scene	location	free
internal	mechanism	location	free
internal	organ	location	free
left	hand	location	free
left	side	location	free
near	neighbor	location	free
near	thing	location	free
right	bank	location	free
right	hand	location	free
right	side	location	free
total	failure	intensity	collocation
ultimate	achievement	intensity	collocation
inactive	life	manner	free
adequate	training	quality	free
competent	performance	quality	free
deficient	education	quality	free
inadequate	staff	quality	free
inadequate	training	quality	free
ultimate	destiny	intensity	collocation
ultimate	goal	intensity	collocation
contrived	coyness	manner	free
stilted	pronunciation	manner	free
strained	smile	manner	free
ultimate	insult	intensity	collocation
ultimate	question	intensity	collocation
unreasonable	demand	intensity	collocation
unusual	beauty	intensity	collocation
close	formation	location	collocation
active	antagonism	manner	collocation
feisty	challenger	manner	free
spiritless	reply	manner	free
active	interest	manner	collocation
heedless	self-interest	manner	free
stilted	letter	manner	collocation
enchanting	music	manner	free
irresistible	beauty	manner	free
mesmeric	charm	manner	free
unsuspecting	victim	manner	free
unaffected	grace	manner	collocation
ambitious	schedule	manner	collocation
dashing	hero	manner	collocation
dead	pallor	manner	collocation
snappy	conversation	manner	collocation
sprightly	dance	manner	collocation
haphazard	system	manner	free
uncivil	tongue	manner	free
puzzling	statement	manner	free
vibrant	group	manner	collocation
uncertain	smile	manner	collocation
cozy	nook	manner	free
uncomfortable	chair	manner	free
thorough	search	manner	free
thoroughgoing	research	manner	free
magnetic	personality	manner	collocation
bold	adventure	manner	collocation
uncomplicated	car	manner	free
conspicuous	necktie	manner	free
eye-catching	poster	manner	free
featured	item	manner	free
inconspicuous	hole	manner	free
outstanding	fact	manner	free
spectacular	rise	manner	free
striking	thing	manner	free
heroic	attack	manner	collocation
careful	research	manner	collocation
creative	imagination	manner	free
careless	mistake	manner	collocation
careless	remark	manner	collocation
sloppy	workmanship	manner	collocation
dirty	job	manner	collocation
dirty	work	manner	collocation
simple	design	manner	collocation
simple	mechanism	manner	collocation
corrupt	government	manner	collocation
troublesome	situation	manner	free
putrid	atmosphere	manner	collocation
ambitious	schedule	manner	collocation
delicate	negotiation	manner	collocation
dull	day	manner	free
dull	mood	manner	free
humdrum	existence	manner	free
difficult	time	manner	collocation
rough	time	manner	collocation
rugged	condition	manner	collocation
tough	job	manner	collocation
tough	life	manner	collocation
tricky	recipe	manner	collocation
arid	performance	manner	collocation
drab	life	manner	collocation
lackluster	life	manner	collocation
cushy	job	manner	collocation
soft	job	manner	collocation
fair	deal	manner	free
fair	fight	manner	free
fair	footing	manner	free
fair	means	manner	free
fair	referee	manner	free
unfair	advantage	manner	free
unfair	method	manner	free
unfair	trial	manner	free
uneven	color	manner	collocation
unglamorous	job	manner	collocation
dirty	fighter	manner	collocation
raw	deal	manner	collocation
clumsy	apology	manner	collocation
cozy	room	manner	free
friendly	advice	manner	collocation
friendly	neighborhood	manner	collocation
gluttonous	debauch	manner	free
voracious	shark	manner	free
square	deal	manner	free
unfriendly	action	manner	collocation
unfriendly	coldness	manner	collocation
empty	hour	manner	collocation
full	life	manner	collocation
honorable	life	manner	collocation
intrusive	presence	manner	free
innermost	feeling	manner	free
honorable	service	manner	collocation
unkind	cut	manner	free
unkind	remark	manner	free
shabby	treatment	manner	collocation
beastly	desire	manner	collocation
lively	discussion	manner	free
lively	party	manner	free
officious	nuisance	manner	collocation
sympathetic	word	manner	collocation
bouncy	tune	manner	collocation
breezy	nature	manner	collocation
logical	mind	manner	collocation
rational	analysis	manner	free
malign	look	manner	collocation
exaggerated	opinion	manner	free
over-the-top	experience	manner	free
malign	spirit	manner	collocation
mindless	task	manner	collocation
unmusical	cry	manner	free
sophisticated	drama	manner	collocation
extreme	example	manner	collocation
impure	thought	manner	collocation
exalted	ideal	manner	free
liquid	song	manner	collocation
ignoble	part	manner	collocation
noble	deed	manner	collocation
noble	spirit	manner	collocation
original	approach	manner	collocation
original	mind	manner	collocation
original	music	manner	collocation
innovative	work	manner	free
trite	remark	manner	free
unoriginal	emendation	manner	free
unorthodox	lifestyle	manner	free
ready-made	phrase	manner	collocation
passive	order	manner	free
idyllic	spot	manner	free
impish	laughter	manner	free
threadbare	joke	manner	collocation
external	concern	manner	collocation
harsh	cry	manner	collocation
rough	life	manner	collocation
tart	remark	manner	collocation
idyllic	life	manner	free
painful	process	manner	free
ungrateful	task	manner	collocation
wild-eyed	dream	manner	collocation
proud	name	manner	collocation
brief	statement	manner	collocation
prolix	lecturer	manner	collocation
concise	explanation	manner	free
prolix	manuscript	manner	free
succinct	comparison	manner	free
wordy	dispute	manner	free
wordy	editorial	manner	free
telegraphic	speech	manner	collocation
pure	tone	manner	collocation
bad	cut	manner	collocation
bad	luck	manner	collocation
bad	shape	manner	collocation
mindless	violence	manner	collocation
senseless	act	manner	collocation
sound	advice	manner	free
sound	approach	manner	free
sound	explanation	manner	free
reassuring	remark	manner	free
sensible	choice	manner	collocation
sleazy	character	manner	collocation
squalid	atmosphere	manner	free
sleazy	storefront	manner	collocation
responsible	journalism	manner	collocation
responsible	position	manner	collocation
grim	joke	manner	collocation
lurid	detail	manner	collocation
serious	attempt	manner	collocation
frivolous	novel	manner	free
frivolous	remark	manner	free
serious	look	manner	collocation
buttery	praise	manner	collocation
genuine	emotion	manner	collocation
honest	opinion	manner	collocation
sincere	friendship	manner	free
sincere	regret	manner	free
sociable	conversation	manner	free
sociable	occasion	manner	free
vehement	defense	manner	free
soapy	compliment	manner	collocation
thriving	business	manner	free
flourishing	business	manner	collocation
garish	color	manner	free
gaudy	costume	manner	free
tawdry	ornament	manner	free
peculiar	hobby	manner	free
peculiar	insult	manner	free
unchaste	conduct	manner	free
flashy	ring	manner	collocation
soft	music	manner	collocation
wary	glance	manner	free
soft	voice	manner	collocation
mobile	face	movement	collocation
natural	cliff	naturalness	free
natural	environment	naturalness	free
tame	animal	naturalness	free
tame	blueberry	naturalness	free
wild	goose	naturalness	free
wild	plant	naturalness	free
domestic	animal	naturalness	collocation
big	man	power	collocation
effective	entrance	power	collocation
effective	reprimand	power	collocation
efficacious	law	power	collocation
impotent	rage	power	collocation
powerful	argument	power	collocation
powerful	government	power	collocation
prominent	citizen	power	collocation
virile	leadership	power	collocation
dominant	partner	power	free
dominant	role	power	free
dominating	event	power	free
foiled	attempt	power	free
ineffective	legislation	power	free
ineffective	teacher	power	free
ineffectual	ruler	power	free
middling	performance	power	free
successful	architect	power	free
unable	phoenix	power	free
unproductive	management	power	free
weak	president	power	collocation
unfaithful	reproduction	precision	collocation
complete	gentleman	quality	collocation
consummate	performance	quality	collocation
convenient	excuse	quality	collocation
out-of-the-way	remark	quality	collocation
right	man	quality	collocation
appropriate	apology	quality	free
appropriate	solemnity	quality	free
correct	answer	quality	free
correct	version	quality	free
erroneous	conclusion	quality	free
false	assumption	quality	free
false	tale	quality	free
false	testimony	quality	free
faultless	logic	quality	free
flawed	diamond	quality	free
flawless	gemstone	quality	free
immaculate	record	quality	free
immaculate	technique	quality	free
imperfect	mortal	quality	free
imperfect	understanding	quality	free
improper	attire	quality	free
improper	medication	quality	free
inappropriate	pressure	quality	free
inappropriate	shoe	quality	free
inconvenient	place	quality	free
incorrect	calculation	quality	free
mistaken	view	quality	free
perfect	day	quality	free
perfect	circle	quality	free
perfect	manner	quality	free
perfect	reproduction	quality	free
perfect	specimen	quality	free
perfect	happiness	quality	free
proper	place	quality	free
proper	manner	quality	free
right	answer	quality	free
right	decision	quality	free
right	road	quality	free
true	meaning	quality	free
true	story	quality	free
wrong	assumption	quality	free
wrong	information	quality	free
wrong	paper	quality	free
wrong	road	quality	free
wrong	time	quality	free
wrong	medicine	quality	free
wrong	way	quality	free
wrong	cheating	quality	free
right	thing	quality	collocation
true	believer	quality	collocation
abnormal	amount	quantity	collocation
big	group	quantity	collocation
comfortable	salary	quantity	collocation
generous	portion	quantity	collocation
inadequate	income	quantity	collocation
large	family	quantity	collocation
large	number	quantity	collocation
large	sum	quantity	collocation
low	supply	quantity	collocation
meager	fare	quantity	collocation
meager	resource	quantity	collocation
measly	tip	quantity	collocation
microscopic	difference	quantity	collocation
minuscule	amount	quantity	collocation
paltry	wage	quantity	collocation
poor	salary	quantity	collocation
short	money	quantity	collocation
short	ration	quantity	collocation
short	supply	quantity	collocation
skimpy	allowance	quantity	collocation
slender	wage	quantity	collocation
abundant	supply	quantity	free
ample	food	quantity	free
ample	food	quantity	free
ample	supply	quantity	free
